,Name,Age,Ram,Storage,Price,sd_card,Rating
88,Vivo,2,6,128,77493,1,1
89,Samsung,3,2,512,80301,1,5
90,Oppo,2,4,128,16277,2,5
91,Apple,3,16,128,33208,2,5
92,OnePlus,1,6,256,58115,2,1
93,Samsung,1,8,128,65876,2,1
94,Apple,1,16,256,90693,2,1
95,Redmi,2,6,256,97193,2,5
96,Pixel,5,8,256,68705,2,1
97,Realme,1,4,256,18806,1,1
98,Apple,3,8,128,24615,2,1
99,Nokia,3,2,1,40887,1,5
100,Pixel,1,4,256,25892,2,5
101,Motorola,3,8,128,85167,2,1
102,Motorola,1,6,128,43223,1,1
103,Nokia,1,2,256,68601,2,5
104,Nokia,3,4,1,31306,2,5
105,Samsung,4,8,512,31788,1,5
106,Apple,2,6,128,75199,2,5
107,Oppo,2,4,512,65846,1,1
108,Motorola,4,8,1,84339,1,1
109,Motorola,5,8,128,76440,2,5
110,Nokia,4,6,512,93449,1,5
111,Realme,4,2,256,85510,2,5
112,Apple,3,8,1,61441,2,5
113,OnePlus,2,4,1,88329,1,1
114,Pixel,5,2,256,56364,2,5
115,Vivo,5,2,128,31452,1,1
116,OnePlus,1,16,512,28350,1,1
117,Motorola,2,6,1,56489,1,1
118,Pixel,2,8,256,25510,1,5
119,Realme,5,16,256,19062,1,1
120,Vivo,1,4,128,41213,1,5
121,Oppo,3,6,128,82980,2,1
122,Nokia,1,2,256,39774,2,1
123,Apple,2,4,128,98413,1,5
124,Realme,4,6,128,35429,2,1
125,Vivo,5,4,512,26436,2,1
126,Realme,5,4,128,59626,1,5
127,Motorola,3,4,512,28762,1,1
128,Vivo,4,8,256,42786,2,1
129,OnePlus,4,2,128,88320,2,5
130,Nokia,2,2,1,61586,1,1
131,Nokia,2,16,512,63099,1,1
132,Oppo,4,8,512,31300,1,5
133,Realme,5,8,1,79347,1,1
134,Oppo,4,16,256,34375,1,1
135,Redmi,4,2,1,48255,1,5
136,OnePlus,2,2,256,46108,2,5
137,Redmi,4,6,512,43456,1,1
138,Realme,4,4,128,40289,1,5
139,Pixel,5,8,1,71656,2,1
140,Motorola,3,16,1,74606,1,5
141,Vivo,3,16,512,10922,2,1
142,Motorola,1,4,1,68664,1,5
143,Nokia,5,6,1,80769,2,1
144,Apple,4,8,128,89679,2,1
145,Pixel,1,4,128,96321,1,1
146,Redmi,1,6,128,81720,2,1
147,Nokia,5,2,256,29730,2,1
148,Vivo,4,2,512,13920,1,5
149,OnePlus,4,6,128,70321,2,5
150,Vivo,4,8,1,23171,1,5
151,Realme,5,6,256,59024,2,1
152,Realme,1,8,1,69678,2,1
153,Nokia,3,6,256,11681,1,1
154,Vivo,4,6,512,40941,2,5
155,Realme,3,4,1,40846,1,5
156,Apple,5,16,128,78201,2,5
157,Samsung,5,8,128,10253,1,5
158,Motorola,1,16,512,52845,2,1
159,Pixel,5,6,128,29727,1,1
160,Pixel,1,16,512,13404,2,5
161,Redmi,1,8,128,34152,1,1
162,OnePlus,1,16,256,91976,1,1
163,Oppo,3,2,256,34380,1,1
164,Samsung,2,8,1,96139,1,1
165,Apple,3,8,256,19078,2,1
166,Pixel,4,4,1,64745,1,1
167,OnePlus,3,2,512,76817,2,1
168,Apple,4,8,512,60750,1,1
169,Pixel,3,6,512,53465,1,1
170,OnePlus,3,2,512,25699,1,5
171,Samsung,2,6,1,17617,2,1
172,Realme,4,6,128,23284,1,5
173,Apple,5,4,1,63135,1,5
174,Motorola,1,8,512,28902,2,5
175,Samsung,5,2,512,45440,2,5
176,Motorola,3,8,512,42501,2,1
177,Samsung,3,4,512,54827,1,5
178,Redmi,1,4,512,93421,2,5
179,Redmi,2,6,1,99051,1,5
180,Apple,3,6,128,41586,2,5
181,Nokia,2,4,256,71764,2,1
182,OnePlus,1,8,512,19693,1,1
183,Redmi,3,16,1,56453,2,5
184,Pixel,1,6,1,87005,2,1
185,Nokia,2,8,256,10983,1,5
186,OnePlus,3,8,128,30203,1,5
187,Oppo,1,2,128,37297,2,5
188,OnePlus,5,2,1,18166,2,1
189,Motorola,2,8,256,10387,1,5
190,Motorola,5,6,256,35292,2,5
191,Oppo,1,2,128,77965,2,5
192,Nokia,2,16,128,83599,2,5
193,Redmi,3,8,128,39539,2,1
194,Apple,3,6,256,67959,1,5
195,Vivo,5,8,1,14324,2,1
196,Oppo,4,8,256,45086,2,5
197,Redmi,1,6,256,49200,2,5
198,Redmi,2,6,128,73783,1,5
199,Oppo,3,2,1,91899,2,1
200,Redmi,3,6,128,59783,1,5
201,OnePlus,2,16,1,48814,1,1
202,Realme,4,6,512,79696,2,5
203,Vivo,4,4,1,49269,1,5
204,OnePlus,5,8,128,76526,2,1
205,Motorola,3,16,256,56221,1,1
206,Apple,5,4,1,34145,1,1
207,Samsung,1,6,128,17254,1,1
208,Realme,2,16,256,63165,1,5
209,Realme,3,16,1,31792,2,5
210,Redmi,1,8,512,24328,1,1
211,Redmi,3,16,1,14071,1,1
212,Pixel,5,6,128,22737,1,1
213,Samsung,4,16,512,82666,1,1
214,Samsung,1,4,1,10050,2,1
215,Redmi,1,8,128,76398,1,5
216,Oppo,5,8,512,45235,1,5
217,Samsung,3,16,128,70766,1,1
218,Motorola,3,4,1,45682,2,5
219,Nokia,2,6,512,29686,2,5
220,Vivo,4,16,1,10158,2,1
221,Oppo,1,2,256,28284,2,1
222,Samsung,1,4,512,28109,1,5
223,Motorola,2,6,512,76254,2,1
224,Pixel,1,4,256,65869,1,5
225,Pixel,5,8,512,18509,2,1
226,OnePlus,4,4,256,78896,2,1
227,Vivo,1,4,128,44643,2,5
228,Pixel,1,8,512,52365,2,1
229,OnePlus,4,8,1,62731,2,1
230,Apple,5,4,256,56594,2,1
231,Oppo,1,8,256,65389,1,1
232,Nokia,4,4,128,28648,2,5
233,OnePlus,4,16,512,42617,1,5
234,Motorola,1,2,256,29222,1,5
235,Motorola,4,8,512,37352,2,5
236,Motorola,2,16,1,78959,2,5
237,OnePlus,4,16,128,95414,2,5
238,Redmi,5,2,256,68504,2,5
239,Vivo,4,8,512,42190,1,1
240,Oppo,3,6,128,52019,2,1
241,Vivo,1,4,1,32389,2,5
242,Realme,3,16,128,56742,1,1
243,Pixel,3,2,256,91533,2,5
244,OnePlus,4,16,1,42974,2,1
245,Realme,2,2,256,68785,2,1
246,OnePlus,5,16,512,80743,2,1
247,Apple,5,4,128,26330,2,5
248,Realme,4,2,128,93941,2,5
249,Pixel,3,2,512,78706,1,5
250,Vivo,4,2,1,99446,1,1
251,Oppo,4,8,1,44000,1,5
252,OnePlus,3,8,1,24838,1,1
253,Redmi,3,8,256,69059,1,5
254,Vivo,2,4,128,72119,1,5
255,Samsung,2,2,512,25185,2,5
256,Vivo,4,6,1,19334,1,5
257,OnePlus,4,4,1,60996,1,5
258,Apple,2,2,1,15674,2,1
259,Redmi,4,16,256,39898,2,1
260,Realme,2,16,128,75239,1,1
261,OnePlus,5,4,128,14991,1,1
262,Pixel,3,6,1,55663,2,1
263,Vivo,3,8,1,24220,1,1
264,Apple,5,6,1,23318,2,1
265,Redmi,3,16,256,48403,2,5
266,Redmi,3,2,128,20982,2,1
267,OnePlus,2,4,256,41192,2,5
268,Nokia,1,8,128,10148,1,1
269,Apple,1,8,512,88053,1,1
270,Oppo,4,16,256,49687,2,1
271,Samsung,5,2,1,11738,2,1
272,Redmi,4,8,1,20517,2,1
273,Samsung,3,2,128,60810,2,5
274,Nokia,1,2,1,74387,1,5
275,OnePlus,3,6,1,46764,2,5
276,Realme,4,16,512,21351,2,5
277,Motorola,5,2,256,68746,2,1
278,OnePlus,1,8,256,82869,2,1
279,Redmi,5,2,256,39322,2,5
280,Redmi,2,6,512,27704,2,1
281,OnePlus,2,16,1,37986,2,5
282,Samsung,2,8,128,91612,1,5
283,Oppo,5,6,512,62276,1,5
284,OnePlus,5,16,256,11415,1,5
285,Samsung,4,6,512,58371,2,5
286,Redmi,4,8,128,67067,2,1
287,Oppo,4,8,256,24727,2,5
288,Redmi,4,2,256,88740,2,1
289,Oppo,3,6,256,96292,2,1
290,Redmi,4,4,512,91383,1,1
291,Oppo,5,2,1,13559,1,5
292,Oppo,3,8,256,76532,1,5
293,Redmi,2,2,128,80934,2,5
294,Redmi,4,4,512,71668,2,5
295,Samsung,5,2,1,38481,2,5
296,Apple,4,6,256,84174,1,5
297,Vivo,1,2,1,54431,2,5
298,Apple,5,16,128,76735,2,1
299,Nokia,3,2,512,83008,2,5
300,Pixel,4,8,1,40320,2,1
301,Samsung,2,2,128,57188,1,1
302,Motorola,5,2,256,57512,1,5
303,Apple,5,2,256,43546,2,1
304,Redmi,3,4,512,87177,2,1
305,Vivo,1,16,128,51990,2,5
306,OnePlus,4,8,512,45773,1,1
307,Redmi,3,16,256,59190,2,5
308,Samsung,1,8,1,27013,1,5
309,Oppo,2,16,512,52844,1,1
310,Redmi,2,4,128,56282,2,5
311,OnePlus,2,6,256,87771,2,1
312,Oppo,4,4,512,10256,1,1
313,Vivo,1,6,256,26771,1,1
314,Oppo,2,16,512,62818,1,1
315,Redmi,1,16,1,19870,2,1
316,Samsung,5,8,1,60378,2,1
317,Samsung,2,4,1,83952,1,5
318,Motorola,1,8,128,52947,1,1
319,Redmi,3,8,256,45849,1,1
320,Motorola,3,4,1,33551,2,5
321,Motorola,5,4,1,51740,1,5
322,Redmi,4,2,256,41154,2,1
323,Oppo,2,4,128,95103,1,1
324,Samsung,3,8,256,75562,1,1
325,Pixel,2,8,512,85733,1,1
326,OnePlus,2,16,256,40727,2,1
327,Pixel,1,4,1,67688,2,1
328,OnePlus,5,2,128,90130,2,5
329,Oppo,5,2,128,78203,1,5
330,Apple,3,6,128,81829,2,5
331,Realme,4,4,512,60339,2,5
332,Nokia,5,6,256,95246,2,1
333,Oppo,1,2,1,28839,1,5
334,Motorola,4,8,1,68121,1,1
335,Vivo,4,8,128,57861,2,1
336,Samsung,1,6,512,66539,1,5
337,OnePlus,3,4,256,61611,2,5
338,Motorola,3,6,1,28892,1,1
339,Nokia,4,6,128,50112,2,5
340,Pixel,3,16,128,24563,1,1
341,Realme,1,6,256,78301,1,5
342,Pixel,1,6,256,77484,1,1
343,Oppo,4,4,512,38340,2,5
344,Motorola,1,6,256,39165,1,1
345,Apple,4,8,512,45229,2,1
346,OnePlus,1,2,128,26699,2,1
347,Redmi,5,16,512,67060,1,5
348,Apple,5,16,512,29760,2,1
349,Oppo,1,8,128,19455,2,1
350,Samsung,4,8,1,56919,1,5
351,Realme,4,2,512,21820,1,1
352,Redmi,2,6,512,87437,1,1
353,Vivo,4,6,256,28905,1,1
354,Oppo,1,8,256,91808,1,1
355,Vivo,2,16,512,19415,2,5
356,Nokia,2,4,1,39908,2,5
357,Redmi,1,4,512,85650,1,5
358,Redmi,3,6,512,69006,1,1
359,Samsung,2,2,1,76256,2,5
360,Apple,1,8,512,82148,2,1
361,Pixel,4,8,512,45589,1,1
362,Nokia,4,4,1,68433,1,5
363,Realme,1,6,1,15261,2,1
364,Redmi,5,4,256,88895,1,5
365,Pixel,4,6,1,96908,2,5
366,Redmi,5,4,1,80612,1,1
367,Motorola,2,6,512,56416,2,5
368,Vivo,1,6,512,73878,2,5
369,Nokia,1,8,256,34732,1,5
370,OnePlus,5,2,512,95540,1,1
371,Vivo,4,4,256,23776,2,5
372,Pixel,4,4,1,75272,2,1
373,OnePlus,5,6,1,39357,1,1
374,Redmi,4,6,128,18290,1,1
375,Realme,4,4,256,33708,2,5
376,Realme,2,4,512,34122,1,1
377,Redmi,2,6,128,31887,1,1
378,Apple,4,2,128,29706,1,5
379,Samsung,3,4,256,86127,1,5
380,Motorola,5,8,512,36373,2,1
381,Pixel,1,16,1,38689,1,1
382,Pixel,1,2,128,70416,2,1
383,Motorola,2,16,512,88440,1,1
384,Nokia,1,16,1,50002,2,1
385,Pixel,5,2,1,42185,2,1
386,Oppo,3,2,128,31949,2,5
387,Realme,3,16,512,14303,1,5
388,Nokia,2,2,256,62890,2,1
389,OnePlus,5,4,1,78733,2,1
390,Apple,2,16,1,25747,2,1
391,Pixel,3,4,1,39617,1,1
392,Pixel,4,6,128,95958,2,5
393,Redmi,1,4,128,37387,2,1
394,OnePlus,5,2,512,59417,2,1
395,Vivo,2,8,256,14961,2,1
396,Vivo,2,4,256,79139,1,5
397,Oppo,4,8,1,83715,2,5
398,Nokia,1,2,1,60813,2,1
399,Realme,3,16,128,54271,2,1
400,Redmi,3,4,1,40988,2,5
401,Apple,5,16,128,89371,1,1
402,Samsung,5,4,512,19741,1,5
403,OnePlus,3,16,512,55827,2,1
404,Samsung,3,8,1,54602,2,5
405,OnePlus,1,6,128,35810,1,1
406,Redmi,3,2,256,74856,1,5
407,Apple,5,4,512,92397,1,1
408,OnePlus,3,8,512,60038,2,5
409,Samsung,3,16,1,70502,2,1
410,Vivo,3,16,512,75599,2,1
411,OnePlus,3,4,256,36595,2,5
412,OnePlus,3,16,128,64262,1,5
413,Pixel,1,6,512,96557,2,5
414,OnePlus,4,6,256,96472,2,1
415,Vivo,3,16,512,65084,1,1
416,Oppo,5,8,512,78746,2,5
417,Nokia,1,6,256,51120,1,1
418,Apple,1,16,256,58835,1,1
419,Vivo,1,16,1,96894,1,5
420,Samsung,5,16,256,53128,2,1
421,Pixel,3,4,256,20533,2,5
422,Nokia,5,16,128,84480,2,1
423,Realme,3,6,1,18758,1,5
424,Apple,1,2,512,67176,2,5
425,Oppo,4,4,512,61348,1,1
426,Oppo,5,6,512,36149,1,1
427,Redmi,5,6,256,89101,1,1
428,Samsung,1,8,512,35779,1,1
429,Nokia,2,8,512,51383,2,5
430,Redmi,1,4,1,40535,2,5
431,Vivo,3,8,512,47561,1,1
432,Samsung,2,8,1,67437,2,5
433,Oppo,1,2,512,28158,2,1
434,Vivo,1,6,512,85243,1,1
435,Pixel,1,4,128,87994,1,5
436,OnePlus,1,4,256,65214,2,1
437,Oppo,1,4,512,31801,1,1
438,Apple,1,6,128,96334,2,1
439,Samsung,2,8,512,76701,1,5
440,Nokia,4,6,256,52465,1,1
441,Pixel,3,4,1,41930,1,5
442,OnePlus,4,2,1,98073,2,1
443,Pixel,1,6,512,73236,2,1
444,Oppo,4,6,256,61586,2,1
445,Vivo,4,6,128,73890,1,5
446,Realme,2,6,1,33204,1,5
447,Pixel,4,6,256,32969,2,1
448,Motorola,5,16,256,30411,1,5
449,Redmi,5,6,128,93074,1,1
450,Redmi,1,2,128,44246,1,5
451,Realme,3,8,128,42798,1,5
452,Realme,3,8,256,91138,2,5
453,OnePlus,4,2,512,96151,1,5
454,Apple,4,8,1,95686,2,5
455,Motorola,3,2,1,82593,1,1
456,Redmi,3,2,256,62045,2,5
457,Samsung,5,16,256,14330,1,5
458,OnePlus,3,8,256,38723,1,5
459,Oppo,4,8,1,71721,2,1
460,Redmi,5,4,1,68082,2,1
461,OnePlus,3,2,512,81417,2,1
462,Motorola,5,8,512,66878,1,5
463,Redmi,4,16,128,47663,1,5
464,Motorola,3,16,512,92448,1,5
465,Apple,2,4,128,49440,1,5
466,Realme,5,16,1,44141,1,1
467,Motorola,5,6,256,81812,2,5
468,Pixel,2,8,512,43150,2,5
469,OnePlus,5,4,1,52460,1,1
470,Samsung,1,6,128,96167,1,5
471,Realme,1,6,512,29584,2,1
472,Vivo,3,2,512,33431,1,5
473,Redmi,2,2,1,88978,2,5
474,Pixel,5,8,512,13443,2,5
475,Redmi,5,8,512,52713,1,5
476,OnePlus,5,16,128,63779,1,1
477,Vivo,4,8,512,51174,2,5
478,Nokia,1,8,1,65675,2,5
479,Apple,1,4,512,12106,2,1
480,Motorola,5,4,1,92122,1,1
481,Vivo,1,8,512,83508,1,1
482,Pixel,3,2,256,87209,1,5
483,Pixel,1,16,1,26697,2,1
484,Oppo,2,8,128,93042,2,1
485,Realme,5,6,128,31331,2,1
486,Motorola,1,4,512,42210,2,1
487,OnePlus,3,4,512,89402,2,1
488,Samsung,1,6,1,33064,1,5
489,Motorola,3,6,256,49955,2,5
490,Vivo,4,4,256,43451,2,1
491,Pixel,2,8,128,84933,2,5
492,Motorola,2,4,1,75583,2,1
493,Pixel,2,2,1,82876,1,5
494,Realme,2,4,256,28311,1,5
495,OnePlus,2,6,256,72574,2,5
496,Motorola,4,2,128,72591,1,1
497,Nokia,1,16,512,85118,1,5
498,Vivo,3,8,128,72837,2,5
499,OnePlus,3,6,256,78251,1,1
500,Pixel,4,6,128,57768,2,5
501,Samsung,4,6,512,27651,2,1
502,Vivo,4,8,128,49418,1,1
503,Redmi,2,2,128,25315,2,5
504,Pixel,1,16,256,28393,1,5
505,Oppo,3,4,256,11990,1,1
506,Realme,2,4,1,13635,2,5
507,Redmi,3,16,128,64317,1,5
508,Redmi,5,2,1,35904,2,5
509,OnePlus,2,2,256,30351,1,1
510,OnePlus,4,6,128,86578,1,1
511,Redmi,2,8,1,73339,2,1
512,Nokia,2,16,128,67354,2,1
513,Pixel,5,4,128,81544,2,5
514,Vivo,4,2,128,57714,2,1
515,Vivo,5,8,128,27212,1,5
516,OnePlus,3,16,128,21982,1,1
517,Vivo,2,8,512,34669,1,1
518,Realme,3,16,512,74370,1,5
519,Apple,5,16,1,60178,2,5
520,Motorola,5,8,512,81631,2,1
521,Samsung,3,4,1,64226,1,5
522,Oppo,5,4,128,16733,2,1
523,Redmi,4,16,128,70626,1,1
524,Motorola,2,8,128,77301,1,1
525,Samsung,3,2,512,60313,1,5
526,Vivo,3,4,256,48802,1,5
527,OnePlus,2,4,512,34923,1,1
528,Redmi,1,4,128,50277,2,1
529,OnePlus,2,6,256,85555,1,5
530,OnePlus,2,8,128,50872,1,1
531,OnePlus,2,16,256,85163,2,5
532,Oppo,5,4,128,71504,2,1
533,Nokia,2,16,128,11376,2,1
534,Pixel,2,4,128,88333,1,5
535,Redmi,1,2,1,87158,2,1
536,Nokia,3,8,128,17547,1,1
537,Vivo,2,16,1,20818,2,1
538,Oppo,1,2,512,76910,1,5
539,Vivo,2,2,128,32612,1,1
540,Pixel,1,2,128,78031,2,1
541,Samsung,2,8,256,61408,1,1
542,Pixel,2,2,512,53433,2,1
543,Apple,5,4,256,37305,2,5
544,Pixel,2,6,256,55085,2,1
545,Vivo,1,2,512,14471,1,1
546,Redmi,4,4,512,61607,2,1
547,Motorola,4,4,256,37219,2,1
548,OnePlus,3,4,256,45552,2,5
549,Vivo,4,16,128,44302,1,5
550,Realme,1,4,128,20215,2,5
551,Oppo,3,6,128,70445,1,5
552,Apple,4,6,512,84045,1,1
553,Oppo,3,2,256,36908,1,1
554,Redmi,5,2,128,90086,2,5
555,Oppo,3,4,1,76677,1,1
556,Samsung,1,16,256,26563,2,1
557,Vivo,1,2,1,81548,2,5
558,Oppo,5,8,256,35441,1,5
559,Redmi,2,6,1,12966,1,1
560,Motorola,3,6,256,86523,2,1
561,Oppo,4,6,256,45894,1,1
562,Pixel,1,6,256,43050,2,5
563,Vivo,3,6,1,55032,1,5
564,Pixel,3,6,1,97957,1,1
565,Vivo,5,4,128,97350,2,1
566,Motorola,1,6,128,65335,1,5
567,Realme,2,2,256,92945,2,1
568,Motorola,5,8,256,99454,1,5
569,Realme,1,4,512,47911,2,1
570,Oppo,5,8,512,86293,1,1
571,Motorola,4,16,1,55470,2,1
572,Nokia,1,16,512,54422,1,5
573,Samsung,4,6,1,88922,1,5
574,Pixel,5,4,1,16662,1,1
575,Motorola,3,8,256,40577,2,1
576,Samsung,3,6,256,80512,2,1
577,Nokia,3,2,1,84497,1,1
578,Samsung,1,2,128,57872,1,1
579,Nokia,2,4,128,18871,2,5
580,Pixel,1,16,128,85209,2,1
581,Motorola,2,4,256,89350,1,5
582,Oppo,4,2,1,62746,1,1
583,Realme,4,2,512,22489,2,1
584,Samsung,3,4,256,94398,2,1
585,Pixel,2,2,256,76567,1,1
586,Apple,3,8,128,90527,2,1
587,Nokia,5,8,1,73184,2,5
588,Vivo,2,6,256,92984,2,5
589,Nokia,1,8,128,41671,2,1
590,Realme,5,6,512,87916,1,1
591,Nokia,4,4,512,29472,2,1
592,Nokia,2,6,256,46712,2,5
593,Motorola,5,8,512,43554,1,5
594,Oppo,2,16,128,61007,1,1
595,OnePlus,5,2,128,50628,1,1
596,OnePlus,3,6,1,52996,1,5
597,Oppo,1,4,128,71436,1,1
598,Vivo,1,8,512,65935,1,1
599,Realme,3,4,512,75125,2,5
600,Motorola,3,2,128,29000,2,5
601,Pixel,1,2,512,31727,1,5
602,Realme,3,6,512,33151,2,1
603,Nokia,3,6,256,98496,1,1
604,Realme,2,6,128,70586,2,1
605,Redmi,4,16,256,36437,1,1
606,Vivo,3,16,1,17473,2,1
607,Samsung,1,8,256,85062,2,1
608,Redmi,3,6,256,24596,2,1
609,OnePlus,5,4,1,21758,2,1
610,Samsung,5,6,1,18669,1,5
611,OnePlus,4,6,128,18375,1,5
612,OnePlus,5,4,128,83064,2,5
613,Motorola,3,8,1,75148,2,1
614,Apple,1,4,256,32847,1,5
615,Nokia,1,4,128,44884,2,5
616,Vivo,1,8,256,85101,2,1
617,Pixel,1,4,256,32217,2,5
618,Motorola,4,2,1,51342,1,5
619,Redmi,1,2,256,78599,2,1
620,Samsung,1,6,128,46903,1,1
621,Motorola,4,16,1,53564,1,5
622,OnePlus,1,8,256,73615,1,5
623,Vivo,4,2,128,72443,1,5
624,Samsung,4,16,512,60342,2,1
625,Redmi,5,2,1,94637,1,1
626,Nokia,2,16,512,30027,1,5
627,Samsung,3,16,512,75854,1,1
628,OnePlus,2,2,256,55330,1,5
629,OnePlus,5,8,1,19916,2,5
630,Vivo,5,16,256,95883,1,5
631,Vivo,3,4,512,74733,2,1
632,Motorola,2,4,256,59181,2,1
633,Samsung,5,16,512,22852,2,1
634,OnePlus,4,4,256,64778,1,5
635,Oppo,5,4,512,57769,2,5
636,Samsung,1,6,512,26596,2,1
637,Apple,5,6,256,30345,2,1
638,Nokia,1,16,512,13282,1,1
639,Samsung,2,8,128,48002,2,1
640,Redmi,3,2,128,88717,1,1
641,Realme,3,6,1,35926,2,1
642,Nokia,5,2,512,41496,1,5
643,Pixel,1,6,512,55007,1,1
644,Motorola,1,16,256,25329,1,1
645,Samsung,2,8,1,69379,2,1
646,Motorola,3,6,512,68656,1,1
647,Vivo,3,8,256,44378,2,5
648,Vivo,2,2,1,13358,1,1
649,Apple,1,8,128,95639,2,1
650,Apple,3,6,128,60469,2,5
651,Redmi,2,2,256,29232,2,5
652,Nokia,5,4,512,56618,2,1
653,Redmi,3,4,128,46256,1,5
654,Vivo,3,6,1,69137,1,5
655,Redmi,4,6,256,36140,1,5
656,Vivo,3,4,128,24445,1,5
657,Realme,3,2,256,65863,2,5
658,Redmi,4,8,1,45276,2,5
659,Pixel,2,4,128,59237,1,5
660,Realme,2,8,1,76173,1,5
661,Apple,1,6,1,62588,1,5
662,Realme,2,16,512,69576,1,1
663,Vivo,5,2,1,37589,1,5
664,Pixel,1,8,512,73621,2,5
665,Pixel,3,2,512,69294,2,1
666,Pixel,4,8,512,75793,1,5
667,Realme,5,6,128,99082,2,1
668,Motorola,3,4,128,17668,1,5
669,OnePlus,5,6,512,46618,1,1
670,Oppo,2,16,512,30875,2,1
671,Realme,2,4,512,69058,1,1
672,Vivo,3,2,512,59764,2,1
673,Motorola,3,2,512,76913,1,1
674,Pixel,1,4,128,14433,1,1
675,Oppo,4,2,512,81776,2,5
676,Pixel,2,4,256,69738,1,1
677,Nokia,5,16,1,73486,2,1
678,Oppo,3,4,128,23115,2,1
679,Nokia,1,16,1,96393,1,1
680,Apple,4,16,512,10600,2,1
681,Apple,4,8,256,94306,2,1
682,Samsung,1,2,128,54580,1,5
683,Nokia,1,16,1,65526,2,1
684,Nokia,5,4,512,95434,2,1
685,Oppo,4,4,128,64405,2,5
686,OnePlus,5,16,128,91894,2,5
687,Nokia,3,6,1,92586,1,5
688,Samsung,3,4,128,23975,1,1
689,Realme,5,8,256,65212,2,5
690,Realme,3,16,512,19928,1,1
691,Pixel,2,16,128,27742,2,5
692,Motorola,4,6,256,52863,2,5
693,OnePlus,2,8,256,32519,1,1
694,OnePlus,2,16,1,60016,1,5
695,Apple,3,2,512,77262,2,1
696,Realme,5,6,1,98167,1,5
697,Motorola,2,2,256,91790,1,5
